"Date","Coffee","Milk","Payment","Payment.Date","InOut","Balance"
"2009-10-29",12,12,20,"2009-10-20",17,17
"2009-12-01",22,22,0,"",-5.5,11.5
"2010-01-28",36,36,0,"",-9,2.5
"2010-03-05",13,13,0,"",-3.25,-0.75
"2010-04-29",50,50,10,"2010-03-22",-2.5,-3.25
"2010-08-04",62,62,20,"2010-05-18",4.5,1.25
"2010-09-27",29,29,0,"",-7.25,-6
"2010-11-04",28,28,40,"2010-09-30",28.8,22.8
"2010-12-07",12,12,0,"",-4.2,18.6
"2011-01-19",31,31,0,"",-12.4,6.2
"2011-02-23",24,24,0,"",-8.4,-2.2
"2011-04-28",42,42,20,"2011-03-15",3.2,1
"2011-06-14",40,40,0,"",-16,-15
"2011-07-15",19,19,40,"2011-07-11",30.5,15.5
"2011-08-19",12,0,0,"",-4.2,11.3
"2011-09-22",14,14,0,"",-7,4.3
"2011-12-06",25,25,0,"",-12.5,-8.2
"2012-01-30",31,31,40,"2011-12-08",24.5,16.3
"2012-04-13",29,29,0,"",-14.5,1.8
"2012-06-13",33,33,16.3,"2012-06-12",-0.199999999999998,1.60000000000001
"2012-09-19",32,32,15,"2012-Sep-19",-0.999999999999999,0.600000000000007
"2012-10-06",0,0,0,"",0,0.600000000000007
"2012-11-28",1,1,0,"0",-0.5,0.100000000000007
"2013-01-28",0,0,0,"",0,0.100000000000007
"2013-02-08",0,0,0,"0",0,0.100000000000007
"2013-04-14",0,0,0,"0",0,0.100000000000007
