Date,CostBlack,CostMilk,Count,Cash,Assets,MilkOutgoing
2009-10-29,0.25,,,,,
2009-12-01,0.25,,,,,
2010-01-28,0.25,,,,,
2010-03-05,0.25,,,,,
2010-04-29,0.25,,,,,
2010-08-04,0.25,,,,,
2010-09-27,0.25,,8088,,,
2010-11-04,0.25,0.15,9584,,,63
2010-12-07,0.25,0.1,10891,$245.75,$50.00,23.75
2011-01-19,0.25,0.15,12137,$356.25,$0.00,52.5
2011-02-23,0.25,0.1,13516,$250.00,$260.00,24.75
2011-04-28,0.25,0.15,15742,$275.00,$90.00,108.88
2011-06-14,0.25,0.15,17501,$140.00,$300.00,73.53
2011-07-15,0.35,0.15,18669,$425.00,$36.00,63.12
2011-08-19,0.35,0.15,19747,,,17
2011-09-22,0.35,0.15,20849,$408.00,,76.16
2011-12-06,0.35,0.15,23450,$759.00,$120.00,117.66
2012-01-30,0.35,0.15,25249,$915.00,,99.58
