Date,ID,Coffee,Milk
2016-Feb-17,296,2,0
2016-Feb-17,337,1,1
2016-Feb-17,310,6,0
2016-Feb-17,20,19,0
2016-Feb-17,28,25,0
2016-Feb-17,269,40,0
2016-Feb-17,311,18,1
2016-Feb-17,70,1,1
2016-Feb-17,265,11,0
2016-Feb-17,341,21,0
2016-Feb-17,347,5,0
2016-Feb-17,301,1,0
2016-Feb-17,108,17,9
2016-Feb-17,119,42,0
2016-Feb-17,124,12,0
2016-Feb-17,125,16,1
2016-Feb-17,136,1,1
2016-Feb-17,142,37,0
2016-Feb-17,340,32,0
2016-Feb-17,147,31,2
2016-Feb-17,309,38,0
2016-Feb-17,156,5,3
2016-Feb-17,338,32,0
2016-Feb-17,161,24,48
2016-Feb-17,165,3,0
2016-Feb-17,169,12,19
2016-Feb-17,307,17,0
2016-Feb-17,344,4,0
2016-Feb-17,350,10,0
2016-Feb-17,351,3,0
2016-Feb-17,352,1,0
2016-Feb-17,199,5,0
2016-Feb-17,208,3,0
2016-Feb-17,343,9,0
2016-Feb-17,217,3,1
