"","data_date","ID","Payment","Payment.Date"
"2","2009-10-29",7,20,"2009-10-20"
"3","2009-10-29",10,4,"2009-10-27"
"4","2009-10-29",28,20,"2009-10-20"
"5","2009-10-29",34,10,"2009-10-20"
"8","2009-10-29",81,10,"2009-10-20"
"9","2009-10-29",99,20,"2009-10-27"
"10","2009-10-29",102,10,"2009-10-15"
"12","2009-10-29",117,10,"2009-10-10"
"13","2009-10-29",120,20,"2009-10-20"
"14","2009-10-29",130,40,"2009-10-27"
"15","2009-10-29",132,10,"2009-10-20"
"17","2009-10-29",147,20,"2009-10-27"
"20","2009-10-29",172,15,"2009-10-10"
"22","2009-10-29",188,10,"2009-10-27"
"24","2009-10-29",191,10,"2009-10-27"
"25","2009-10-29",198,10,"2009-10-20"
"27","2009-10-29",202,10,"2009-10-26"
"30","2009-12-01",4,5,"2009-10-30"
"38","2009-12-01",40,15,"2009-10-29"
"40","2009-12-01",51,10,"2009-10-30"
"58","2009-12-01",153,20,"2009-11-17"
"69","2009-12-01",199,15,"2009-11-03"
"73","2009-12-01",212,10,"2009-11-02"
"76","2010-01-28",1,5,"2010-01-21"
"83","2010-01-28",29,5,"2010-01-26"
"90","2010-01-28",55,20,"2010-01-06"
"91","2010-01-28",76,10,"2009-12-01"
"97","2010-01-28",102,40,"2010-01-05"
"103","2010-01-28",122,25,"2010-01-05"
"111","2010-01-28",147,20,"2010-01-01"
"113","2010-01-28",159,5,"2010-01-27"
"116","2010-01-28",168,10,"2009-12-01"
"125","2010-01-28",198,20,"2010-01-04"
"126","2010-01-28",199,20,"2010-01-18"
"135","2010-01-28",243,5,"2010-01-22"
"142","2010-03-05",28,25,"2010-02-02"
"146","2010-03-05",37,1,"2010-01-28"
"153","2010-03-05",76,10,"2010-02-10"
"154","2010-03-05",81,20,"2010-02-09"
"161","2010-03-05",105,20,"2010-03-01"
"162","2010-03-05",113,4,"2010-01-29"
"168","2010-03-05",126,3,"2010-01-28"
"175","2010-03-05",153,20,"2010-02-02"
"177","2010-03-05",161,10,"2010-02-02"
"181","2010-03-05",172,20,"2010-02-01"
"184","2010-03-05",184,20,"2010-02-10"
"191","2010-03-05",202,20,"2010-03-01"
"203","2010-04-29",6,5,"2010-04-01"
"204","2010-04-29",7,10,"2010-03-22"
"205","2010-04-29",10,5,"2010-03-16"
