"Date","Coffee","Milk","Payment","Payment.Date","InOut","Balance"
"2009-10-29",0,0,0,"0",0,0
"2009-12-01",0,0,0,"0",0,0
"2010-01-28",0,0,0,"0",0,0
"2010-03-05",0,0,0,"0",0,0
"2010-04-29",0,0,0,"0",0,0
"2010-08-04",17,17,0,"",-4.25,-4.25
"2010-09-27",22,22,6,"2010-08-11",0.5,-3.75
"2010-11-04",16,0,4.75,"2010-09-30",0.75,-3
"2010-12-07",18,0,0,"",-4.5,-7.5
"2011-01-19",16,0,0,"",-4,-11.5
"2011-02-23",8,0,15,"2011-01-28",13,1.5
"2011-04-28",23,0,0,"",-5.75,-4.25
"2011-06-14",0,0,4.25,"2011-05-26",4.25,0
"2011-07-15",0,0,0,"",0,0
"2011-08-19",0,0,0,"",0,0
"2011-09-22",0,0,0,"",0,0
"2011-12-06",0,0,0,"",0,0
"2012-01-30",0,0,0,"",0,0
"2012-04-13",0,0,0,"",0,0
"2012-06-13",0,0,0,"0",0,0
"2012-09-19",14,0,20,"2012-Sep-19",15.1,15.1
"2012-10-06",30,30,0,"",-15,0.100000000000001
"2012-11-28",89,89,0,"0",-44.5,-44.4
"2013-01-28",24,0,0,"",-8.4,-52.8
"2013-02-08",2,0,0,"",-0.7,-53.5
"2013-04-14",1,0,10,"2013/06/03",9.65,-43.85
