"Date","Coffee","Milk","Payment","Payment.Date","InOut","Balance"
"2009-10-29",0,0,0,"0",0,0
"2009-12-01",0,0,0,"0",0,0
"2010-01-28",0,0,0,"0",0,0
"2010-03-05",0,0,0,"0",0,0
"2010-04-29",0,0,0,"0",0,0
"2010-08-04",0,0,0,"0",0,0
"2010-09-27",0,0,0,"0",0,0
"2010-11-04",20,0,20,"2010-11-04",15,15
"2010-12-07",21,21,0,"",-7.35,7.65
"2011-01-19",12,12,0,"",-4.8,2.85
"2011-02-23",22,22,20,"2011-02-18",12.3,15.15
"2011-04-28",14,14,0,"",-5.6,9.55
"2011-06-14",0,0,0,"",0,9.55
"2011-07-15",0,0,0,"",0,9.55
"2011-08-19",1,1,0,"",-0.5,9.05
"2011-09-22",12,12,0,"",-6,3.05
"2011-12-06",23,23,20,"2011-11-17",8.5,11.55
"2012-01-30",20,20,0,"",-10,1.55
"2012-04-13",33,34,0,"",-16.65,-15.1
"2012-06-13",18,19,0,"",-9.15,-24.25
"2012-09-19",14,14,40,"2012-07-12",33,8.75000000000001
"2012-10-06",6,7,0,"",-3.15,5.60000000000001
"2012-11-28",31,32,0,"0",-15.65,-10.05
"2013-01-28",20,22,0,"",-10.3,-20.35
"2013-02-08",6,7,30,"2013-01-30",26.85,6.5
"2013-04-14",12,12,0,"",-6,0.500000000000005
