1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 4B0000002F70E121
Is Mission Active?  true
Mission Start:  Tue Jun 18 13:00:00 GMT-03:00 2013
Sample Rate:  Every 1 minute(s)
Number of Mission Samples:  34393
Total Samples:  36206
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
18/06/13 1:00:00 PM,C,31.5
18/06/13 1:01:00 PM,C,28.5
18/06/13 1:02:00 PM,C,29.5
18/06/13 1:03:00 PM,C,41
18/06/13 1:04:00 PM,C,46.5
18/06/13 1:05:00 PM,C,49
18/06/13 1:06:00 PM,C,50
18/06/13 1:07:00 PM,C,50.5
18/06/13 1:08:00 PM,C,50.5
18/06/13 1:09:00 PM,C,50
18/06/13 1:10:00 PM,C,49.5
18/06/13 1:11:00 PM,C,49
18/06/13 1:12:00 PM,C,49
18/06/13 1:13:00 PM,C,48.5
18/06/13 1:14:00 PM,C,48
18/06/13 1:15:00 PM,C,47.5
18/06/13 1:16:00 PM,C,47.5
18/06/13 1:17:00 PM,C,47.5
18/06/13 1:18:00 PM,C,47.5
18/06/13 1:19:00 PM,C,47
18/06/13 1:20:00 PM,C,46.5
18/06/13 1:21:00 PM,C,46
18/06/13 1:22:00 PM,C,46
18/06/13 1:23:00 PM,C,45.5
18/06/13 1:24:00 PM,C,45
18/06/13 1:25:00 PM,C,45
18/06/13 1:26:00 PM,C,44.5
18/06/13 1:27:00 PM,C,43
18/06/13 1:28:00 PM,C,44
18/06/13 1:29:00 PM,C,44
18/06/13 1:30:00 PM,C,44
18/06/13 1:31:00 PM,C,44
18/06/13 1:32:00 PM,C,43.5
18/06/13 1:33:00 PM,C,43.5
18/06/13 1:34:00 PM,C,43.5
18/06/13 1:35:00 PM,C,43.5
18/06/13 1:36:00 PM,C,43.5
18/06/13 1:37:00 PM,C,43
18/06/13 1:38:00 PM,C,43
18/06/13 1:39:00 PM,C,43
18/06/13 1:40:00 PM,C,43
18/06/13 1:41:00 PM,C,43
18/06/13 1:42:00 PM,C,42.5
18/06/13 1:43:00 PM,C,42.5
18/06/13 1:44:00 PM,C,43
18/06/13 1:45:00 PM,C,42.5
18/06/13 1:46:00 PM,C,42.5
18/06/13 1:47:00 PM,C,42.5
18/06/13 1:48:00 PM,C,42.5
18/06/13 1:49:00 PM,C,43
18/06/13 1:50:00 PM,C,43.5
18/06/13 1:51:00 PM,C,43.5
18/06/13 1:52:00 PM,C,43.5
18/06/13 1:53:00 PM,C,43.5
18/06/13 1:54:00 PM,C,43
18/06/13 1:55:00 PM,C,43
18/06/13 1:56:00 PM,C,43
18/06/13 1:57:00 PM,C,43
18/06/13 1:58:00 PM,C,43
18/06/13 1:59:00 PM,C,43.5
18/06/13 2:00:00 PM,C,43.5
18/06/13 2:01:00 PM,C,43.5
18/06/13 2:02:00 PM,C,43.5
18/06/13 2:03:00 PM,C,43
18/06/13 2:04:00 PM,C,43.5
18/06/13 2:05:00 PM,C,44
18/06/13 2:06:00 PM,C,44
18/06/13 2:07:00 PM,C,43.5
18/06/13 2:08:00 PM,C,43.5
18/06/13 2:09:00 PM,C,43.5
18/06/13 2:10:00 PM,C,43
18/06/13 2:11:00 PM,C,43
18/06/13 2:12:00 PM,C,43
18/06/13 2:13:00 PM,C,43
18/06/13 2:14:00 PM,C,43
18/06/13 2:15:00 PM,C,43
18/06/13 2:16:00 PM,C,42.5
18/06/13 2:17:00 PM,C,42.5
18/06/13 2:18:00 PM,C,42.5
18/06/13 2:19:00 PM,C,42.5
18/06/13 2:20:00 PM,C,42.5
18/06/13 2:21:00 PM,C,43
18/06/13 2:22:00 PM,C,43.5
18/06/13 2:23:00 PM,C,43.5
18/06/13 2:24:00 PM,C,43.5
18/06/13 2:25:00 PM,C,43
18/06/13 2:26:00 PM,C,43
18/06/13 2:27:00 PM,C,43
18/06/13 2:28:00 PM,C,43
18/06/13 2:29:00 PM,C,42.5
18/06/13 2:30:00 PM,C,42.5
18/06/13 2:31:00 PM,C,42.5
18/06/13 2:32:00 PM,C,43
18/06/13 2:33:00 PM,C,43.5
18/06/13 2:34:00 PM,C,43.5
18/06/13 2:35:00 PM,C,43.5
18/06/13 2:36:00 PM,C,43.5
18/06/13 2:37:00 PM,C,43
18/06/13 2:38:00 PM,C,43
18/06/13 2:39:00 PM,C,43
18/06/13 2:40:00 PM,C,42.5
18/06/13 2:41:00 PM,C,42.5
18/06/13 2:42:00 PM,C,42.5
18/06/13 2:43:00 PM,C,42
18/06/13 2:44:00 PM,C,42
18/06/13 2:45:00 PM,C,42
18/06/13 2:46:00 PM,C,42
18/06/13 2:47:00 PM,C,42
18/06/13 2:48:00 PM,C,42
18/06/13 2:49:00 PM,C,42
18/06/13 2:50:00 PM,C,42
18/06/13 2:51:00 PM,C,42
18/06/13 2:52:00 PM,C,42
18/06/13 2:53:00 PM,C,41.5
18/06/13 2:54:00 PM,C,42
18/06/13 2:55:00 PM,C,43
18/06/13 2:56:00 PM,C,43
18/06/13 2:57:00 PM,C,42.5
18/06/13 2:58:00 PM,C,42.5
18/06/13 2:59:00 PM,C,42.5
18/06/13 3:00:00 PM,C,42.5
18/06/13 3:01:00 PM,C,42.5
18/06/13 3:02:00 PM,C,42
18/06/13 3:03:00 PM,C,42
18/06/13 3:04:00 PM,C,42
18/06/13 3:05:00 PM,C,42.5
18/06/13 3:06:00 PM,C,43
18/06/13 3:07:00 PM,C,43
18/06/13 3:08:00 PM,C,43
18/06/13 3:09:00 PM,C,43
18/06/13 3:10:00 PM,C,43
18/06/13 3:11:00 PM,C,42.5
18/06/13 3:12:00 PM,C,42.5
18/06/13 3:13:00 PM,C,42.5
18/06/13 3:14:00 PM,C,42.5
18/06/13 3:15:00 PM,C,42.5
18/06/13 3:16:00 PM,C,42.5
18/06/13 3:17:00 PM,C,42
18/06/13 3:18:00 PM,C,42
18/06/13 3:19:00 PM,C,42
18/06/13 3:20:00 PM,C,42
18/06/13 3:21:00 PM,C,42
18/06/13 3:22:00 PM,C,42
18/06/13 3:23:00 PM,C,42
18/06/13 3:24:00 PM,C,42
18/06/13 3:25:00 PM,C,42
18/06/13 3:26:00 PM,C,42
18/06/13 3:27:00 PM,C,42
18/06/13 3:28:00 PM,C,42
18/06/13 3:29:00 PM,C,42
18/06/13 3:30:00 PM,C,42
18/06/13 3:31:00 PM,C,42
18/06/13 3:32:00 PM,C,42
18/06/13 3:33:00 PM,C,42
18/06/13 3:34:00 PM,C,42
18/06/13 3:35:00 PM,C,42
18/06/13 3:36:00 PM,C,42
18/06/13 3:37:00 PM,C,42
18/06/13 3:38:00 PM,C,43
18/06/13 3:39:00 PM,C,44
18/06/13 3:40:00 PM,C,44
18/06/13 3:41:00 PM,C,44
18/06/13 3:42:00 PM,C,44
18/06/13 3:43:00 PM,C,44
18/06/13 3:44:00 PM,C,43.5
18/06/13 3:45:00 PM,C,43.5
18/06/13 3:46:00 PM,C,43.5
18/06/13 3:47:00 PM,C,43
18/06/13 3:48:00 PM,C,43
18/06/13 3:49:00 PM,C,43
18/06/13 3:50:00 PM,C,43
18/06/13 3:51:00 PM,C,43
18/06/13 3:52:00 PM,C,42.5
18/06/13 3:53:00 PM,C,42.5
18/06/13 3:54:00 PM,C,42.5
18/06/13 3:55:00 PM,C,42.5
18/06/13 3:56:00 PM,C,42.5
18/06/13 3:57:00 PM,C,42.5
18/06/13 3:58:00 PM,C,42.5
18/06/13 3:59:00 PM,C,42.5
18/06/13 4:00:00 PM,C,42
18/06/13 4:01:00 PM,C,42
18/06/13 4:02:00 PM,C,42
18/06/13 4:03:00 PM,C,42.5
18/06/13 4:04:00 PM,C,42
18/06/13 4:05:00 PM,C,42
18/06/13 4:06:00 PM,C,42
18/06/13 4:07:00 PM,C,42
18/06/13 4:08:00 PM,C,42.5
18/06/13 4:09:00 PM,C,42
18/06/13 4:10:00 PM,C,42
18/06/13 4:11:00 PM,C,42
18/06/13 4:12:00 PM,C,42
18/06/13 4:13:00 PM,C,42.5
18/06/13 4:14:00 PM,C,42.5
18/06/13 4:15:00 PM,C,42.5
18/06/13 4:16:00 PM,C,42
18/06/13 4:17:00 PM,C,42
18/06/13 4:18:00 PM,C,42
18/06/13 4:19:00 PM,C,42
18/06/13 4:20:00 PM,C,42
18/06/13 4:21:00 PM,C,42
18/06/13 4:22:00 PM,C,42
18/06/13 4:23:00 PM,C,42
18/06/13 4:24:00 PM,C,42
18/06/13 4:25:00 PM,C,42
18/06/13 4:26:00 PM,C,42
18/06/13 4:27:00 PM,C,42
18/06/13 4:28:00 PM,C,42
18/06/13 4:29:00 PM,C,42
18/06/13 4:30:00 PM,C,42
18/06/13 4:31:00 PM,C,42
18/06/13 4:32:00 PM,C,42
18/06/13 4:33:00 PM,C,42
18/06/13 4:34:00 PM,C,42
18/06/13 4:35:00 PM,C,42
18/06/13 4:36:00 PM,C,42
18/06/13 4:37:00 PM,C,42
18/06/13 4:38:00 PM,C,42
18/06/13 4:39:00 PM,C,42
18/06/13 4:40:00 PM,C,42
18/06/13 4:41:00 PM,C,42
18/06/13 4:42:00 PM,C,42
18/06/13 4:43:00 PM,C,42
18/06/13 4:44:00 PM,C,42
18/06/13 4:45:00 PM,C,42.5
18/06/13 4:46:00 PM,C,42.5
18/06/13 4:47:00 PM,C,42.5
18/06/13 4:48:00 PM,C,42.5
18/06/13 4:49:00 PM,C,42.5
18/06/13 4:50:00 PM,C,42.5
18/06/13 4:51:00 PM,C,42.5
18/06/13 4:52:00 PM,C,42.5
18/06/13 4:53:00 PM,C,42.5
18/06/13 4:54:00 PM,C,42.5
18/06/13 4:55:00 PM,C,42.5
18/06/13 4:56:00 PM,C,42.5
18/06/13 4:57:00 PM,C,42.5
18/06/13 4:58:00 PM,C,42.5
18/06/13 4:59:00 PM,C,42.5
18/06/13 5:00:00 PM,C,42.5
18/06/13 5:01:00 PM,C,42.5
18/06/13 5:02:00 PM,C,42.5
18/06/13 5:03:00 PM,C,42.5
18/06/13 5:04:00 PM,C,42.5
18/06/13 5:05:00 PM,C,42.5
18/06/13 5:06:00 PM,C,42.5
18/06/13 5:07:00 PM,C,42.5
18/06/13 5:08:00 PM,C,42.5
18/06/13 5:09:00 PM,C,42.5
18/06/13 5:10:00 PM,C,42.5
18/06/13 5:11:00 PM,C,42.5
18/06/13 5:12:00 PM,C,42.5
18/06/13 5:13:00 PM,C,42.5
18/06/13 5:14:00 PM,C,42.5
18/06/13 5:15:00 PM,C,42.5
18/06/13 5:16:00 PM,C,42.5
18/06/13 5:17:00 PM,C,42.5
18/06/13 5:18:00 PM,C,42.5
18/06/13 5:19:00 PM,C,42.5
18/06/13 5:20:00 PM,C,42.5
18/06/13 5:21:00 PM,C,42.5
18/06/13 5:22:00 PM,C,42.5
18/06/13 5:23:00 PM,C,42.5
18/06/13 5:24:00 PM,C,42.5
18/06/13 5:25:00 PM,C,42.5
18/06/13 5:26:00 PM,C,42.5
18/06/13 5:27:00 PM,C,42.5
18/06/13 5:28:00 PM,C,42.5
18/06/13 5:29:00 PM,C,42.5
18/06/13 5:30:00 PM,C,42.5
18/06/13 5:31:00 PM,C,42.5
18/06/13 5:32:00 PM,C,42.5
18/06/13 5:33:00 PM,C,42.5
18/06/13 5:34:00 PM,C,42.5
18/06/13 5:35:00 PM,C,42.5
18/06/13 5:36:00 PM,C,42.5
18/06/13 5:37:00 PM,C,42.5
18/06/13 5:38:00 PM,C,42.5
18/06/13 5:39:00 PM,C,42.5
18/06/13 5:40:00 PM,C,42.5
18/06/13 5:41:00 PM,C,42.5
18/06/13 5:42:00 PM,C,42.5
18/06/13 5:43:00 PM,C,42.5
18/06/13 5:44:00 PM,C,42.5
18/06/13 5:45:00 PM,C,42.5
18/06/13 5:46:00 PM,C,42.5
18/06/13 5:47:00 PM,C,42.5
18/06/13 5:48:00 PM,C,42.5
18/06/13 5:49:00 PM,C,42.5
18/06/13 5:50:00 PM,C,42.5
18/06/13 5:51:00 PM,C,42.5
18/06/13 5:52:00 PM,C,42.5
18/06/13 5:53:00 PM,C,42.5
